tt,0.3_outdoor,0.5_outdoor,1.0_outdoor,3.0_outdoor,5.0_outdoor,10.0_outdoor,0.3_classroom,0.5_classroom,1.0_classroom,3.0_classroom,5.0_classroom,10.0_classroom,CO2_outdoor,CO2_classroom,PM2.5_outdoor,PM10_outdoor,PM2.5_classroom,PM10_classroom,PM2.5_classroom_change,PM10_classroom_change,CO2_classroom_change,time
2019-12-02 15:57:02,1745964.9899999998,1121245.625,1125795.0,2251584.0,4814500.0,2473000.0,202261.48199999996,243286.25,293640.0,515187.0,795000.0,1413000.0,420.6,578.4,3931716.5330000008,12098691.4,717126.6966000003,2868332.2,12330.728999999934,70600.0,-1.8000000000000682,0.5112930860770518
2019-12-02 15:58:02,1747930.3199999998,1138515.875,1232509.0,2556900.0,6448750.0,4947000.0,200906.72999999998,243772.125,290813.0,515187.0,750875.0,707000.0,420.8,577.6,3989948.343000001,12200828.6,726158.7204000002,2797154.2,9032.023799999966,-71178.0,-0.7999999999999545,0.5075383629607041
2019-12-02 15:59:02,1781475.3899999997,1148630.75,1209541.0,2804949.0,6316250.0,4240000.0,195821.54999999996,233215.5,269965.0,553365.0,1148375.0,1767000.0,417.6,577.4,4042629.835000001,12507519.0,724888.0972000003,2737713.4,-1270.6231999999145,-59440.80000000028,-0.20000000000004547,0.5037739770455264
2019-12-02 16:00:02,1788668.9999999998,1165945.25,1174558.0,2575962.0,5653750.0,5654000.0,194533.56899999996,231978.75,295760.0,457947.0,750875.0,707000.0,420.4,578.6,4073870.795000001,12574325.8,727560.4834000003,2791266.4,2672.38619999995,53553.0,1.2000000000000455,0.5000000000000004
2019-12-02 16:01:02,1803714.4799999997,1155477.125,1251944.0,2700000.0,7155500.0,11307000.0,190745.92799999999,228754.375,276678.0,314847.0,1104250.0,1060000.0,421.0,581.0,4118383.1610000012,14379829.0,718426.4518000003,2511981.6,-9134.031599999988,-279284.7999999998,2.3999999999999773,0.4962165036752081
2019-12-02 16:02:02,1820200.6799999997,1171952.375,1291166.0,2623671.0,5918750.0,5654000.0,192463.23599999998,233038.875,272085.0,515187.0,1280875.0,353000.0,418.8,583.4,4176445.849000002,15311296.4,710106.3276000002,2397156.6,-8320.124200000078,-114825.0,2.3999999999999773,0.4924235601034672
2019-12-02 16:03:02,1803581.0999999999,1166254.5,1219435.0,2289762.0,7111250.0,9187000.0,199771.37999999998,248365.75,299293.0,524745.0,1015875.0,1060000.0,415.8,584.6,4190508.930000001,16238368.8,712493.9826000002,2522668.2,2387.655000000028,125511.6000000001,1.2000000000000455,0.4886212414969553
2019-12-02 16:04:02,1683445.1399999997,1081272.125,1098587.0,2194344.0,5035375.0,4594000.0,207671.03999999998,253180.25,321201.0,477036.0,1325125.0,1060000.0,414.4,585.4,4135240.3550000014,15930872.8,729104.0306000004,2401352.4,16610.048000000184,-121315.80000000028,0.7999999999999545,0.48480962024633684
2019-12-02 16:05:02,1642229.6399999997,1051148.5,1059717.0,2108484.0,4726125.0,6360000.0,194151.95099999997,238030.0,258304.0,639225.0,1060125.0,1060000.0,414.8,585.8,4060024.933000001,15793052.2,722746.7570000004,2570058.0,-6357.273599999957,168705.6000000001,0.39999999999997726,0.4809887689193877
2019-12-02 16:06:02,1640865.3299999998,1041784.5,1079152.0,2165724.0,5079500.0,4947000.0,188513.43299999996,225441.75,289046.0,448416.0,839250.0,1060000.0,413.8,585.8,3970158.178000001,13998997.0,724111.3330000004,2543771.8,1364.576000000001,-26286.200000000186,0.0,0.4771587602596087
2019-12-02 16:07:02,1630313.4599999997,1042005.25,1059011.0,1984446.0,4682000.0,4947000.0,194361.84899999996,235070.625,292580.0,543807.0,1236750.0,353000.0,415.4,585.2,3859760.3090000013,13482402.0,728996.4056000004,2540670.8,4885.072599999956,-3101.0,-0.599999999999909,0.4733196671848439
2019-12-02 16:08:02,1624608.0899999999,1050883.375,1030389.0,1917675.0,4902875.0,4947000.0,197004.58199999997,242358.625,313781.0,620136.0,1192625.0,707000.0,417.0,584.2,3763082.2820000006,12118309.6,730139.2210000005,2524499.0,1142.8154000000795,-16171.799999999814,-1.0,0.46947156278589075
2019-12-02 16:09:02,1605126.2399999998,1032508.875,1021555.0,1994004.0,5123625.0,5300000.0,210972.08699999997,252296.875,303887.0,572427.0,1192625.0,353000.0,418.6,583.2,3722259.4520000005,12237091.6,727159.9554000006,2375677.2,-2979.265599999926,-148821.7999999998,-1.0,0.46561452032511164
2019-12-02 16:10:02,1600375.0499999998,1027252.75,1069258.0,2318382.0,4593625.0,5300000.0,204837.44399999996,244788.0,303180.0,553365.0,795000.0,1060000.0,418.4,582.0,3711017.5840000003,12040571.2,739623.8540000005,2305480.2,12463.898599999957,-70197.0,-1.2000000000000455,0.46174861323503436
2019-12-02 16:11:02,1563443.0999999999,1009364.0,996466.0,1984446.0,4770375.0,3180000.0,223241.34599999996,270848.0,324382.0,677376.0,1369250.0,353000.0,418.2,581.0,3672511.838000001,11589090.6,762717.8866000004,2315872.2,23094.03259999992,10392.0,-1.0,0.45787391511695663
2019-12-02 16:12:02,1542043.4399999997,1003180.25,1008127.0,2194344.0,5344500.0,6714000.0,228984.81299999997,271289.75,342403.0,763263.0,1634250.0,1060000.0,417.2,580.2,3636916.0340000005,12116970.2,786850.9044000005,2580663.4,24133.01780000003,264791.1999999997,-0.7999999999999545,0.4539904997395469
2019-12-02 16:13:02,1487595.2399999998,976590.125,1006360.0,2165724.0,6051250.0,5300000.0,221638.51799999998,264664.25,332509.0,772794.0,1192625.0,707000.0,416.2,579.6,3589849.014,12466855.0,799984.4166000003,2611195.0,13133.512199999881,30531.600000000093,-0.6000000000000227,0.4500984410374354
2019-12-02 16:14:02,1461224.88,980388.75,1135689.0,2795418.0,7067125.0,6007000.0,231627.57299999997,268462.875,309541.0,772794.0,1590125.0,1767000.0,414.0,578.8,3573471.517,13157237.8,808479.5138000005,3013568.4,8495.097200000193,402373.3999999999,-0.8000000000000682,0.44619781310980944
2019-12-02 16:15:02,1455099.6599999997,984584.75,1114488.0,2900367.0,7420500.0,9187000.0,232839.22499999998,278224.375,319435.0,753705.0,1501750.0,353000.0,412.8,577.8,3544928.839,14616409.8,824018.1450000005,3053586.4,15538.631199999945,40018.0,-1.0,0.44228869021900136
2019-12-02 16:16:02,1445730.6599999997,984099.0,1101767.0,2509191.0,6581250.0,5300000.0,233373.50099999996,272968.25,338163.0,772794.0,1192625.0,1060000.0,412.8,577.0,3537393.5510000004,15507533.8,829224.8260000006,3178745.0,5206.681000000099,125158.6000000001,-0.7999999999999545,0.43837114678907774
